Instance;Init;Algo;Pivot;InitCost;FinalCost;Time
/root/Linear-Ordering-Problem/code/instances/N-tiw56n54_150;1;1;0;676518;834430;366.721947
/root/Linear-Ordering-Problem/code/instances/N-tiw56n54_150;0;2;0;0;830281;367.164951
/root/Linear-Ordering-Problem/code/instances/N-tiw56n58_150;1;1;0;915336;1150026;366.722039
/root/Linear-Ordering-Problem/code/instances/N-tiw56n58_150;0;2;0;0;1144840;368.723182
/root/Linear-Ordering-Problem/code/instances/N-tiw56n62_150;1;1;0;1285441;1616057;366.722047
/root/Linear-Ordering-Problem/code/instances/N-tiw56n62_150;0;2;0;0;1609289;368.191633
/root/Linear-Ordering-Problem/code/instances/N-tiw56n66_150;1;1;0;1664444;2097991;366.721785
/root/Linear-Ordering-Problem/code/instances/N-tiw56n66_150;0;2;0;0;2087341;371.795577
/root/Linear-Ordering-Problem/code/instances/N-tiw56n67_150;1;1;0;1926677;2366393;366.721934
/root/Linear-Ordering-Problem/code/instances/N-tiw56n67_150;0;2;0;0;2352653;372.029194
/root/Linear-Ordering-Problem/code/instances/N-tiw56n72_150;1;1;0;3334262;4112051;366.721944
/root/Linear-Ordering-Problem/code/instances/N-tiw56n72_150;0;2;0;0;4103983;368.935050
/root/Linear-Ordering-Problem/code/instances/N-tiw56r54_150;1;1;0;766440;956646;366.722122
/root/Linear-Ordering-Problem/code/instances/N-tiw56r54_150;0;2;0;0;949326;370.554451
/root/Linear-Ordering-Problem/code/instances/N-tiw56r58_150;1;1;0;960133;1214003;366.721964
/root/Linear-Ordering-Problem/code/instances/N-tiw56r58_150;0;2;0;0;1208002;367.104786
/root/Linear-Ordering-Problem/code/instances/N-tiw56r66_150;1;1;0;1537822;1934164;366.722239
/root/Linear-Ordering-Problem/code/instances/N-tiw56r66_150;0;2;0;0;1921798;371.329843
/root/Linear-Ordering-Problem/code/instances/N-tiw56r67_150;1;1;0;1648917;2051638;366.721833
/root/Linear-Ordering-Problem/code/instances/N-tiw56r67_150;0;2;0;0;2040894;369.810849
/root/Linear-Ordering-Problem/code/instances/N-tiw56r72_150;1;1;0;2246380;2812650;366.721978
/root/Linear-Ordering-Problem/code/instances/N-tiw56r72_150;0;2;0;0;2793101;371.331780
